,CURRENT|1
398,-0.254639
399,-0.229004
400,-0.254639
401,-0.246094
402,-0.230713
403,-0.259766
404,-0.234131
405,-0.242676
406,-0.25293
407,-0.232422
408,-0.25293
409,-0.246094
410,-0.232422
411,-0.259766
412,-0.239258
413,-0.240967
414,-0.258057
415,-0.234131
416,-0.249512
417,-0.25293
418,-0.230713
419,-0.258057
420,-0.244385
421,-0.237549
422,-0.259766
423,-0.23584
424,-0.247803
425,-0.25293
426,-0.232422
427,-0.256348
428,-0.246094
429,-0.23584
430,-0.259766
431,-0.237549
432,-0.244385
433,-0.256348
434,-0.230713
435,-0.254639
436,-0.249512
437,-0.232422
438,-0.259766
439,-0.237549
440,-0.242676
441,-0.259766
442,-0.232422
443,-0.25293
444,-0.249512
445,-0.234131
446,-0.261475
447,-0.239258
448,-0.242676
449,-0.261475
450,-0.230713
451,-0.25293
452,-0.25293
453,-0.234131
454,-0.259766
455,-0.242676
456,-0.240967
457,-0.261475
458,-0.23584
459,-0.249512
460,-0.256348
461,-0.232422
462,-0.259766
463,-0.244385
464,-0.239258
465,-0.263184
466,-0.237549
467,-0.251221
468,-0.258057
469,-0.234131
470,-0.259766
471,-0.247803
472,-0.239258
473,-0.264893
474,-0.237549
475,-0.251221
476,-0.258057
477,-0.234131
478,-0.259766
479,-0.246094
480,-0.239258
481,-0.261475
482,-0.239258
483,-0.247803
484,-0.258057
485,-0.234131
486,-0.261475
487,-0.251221
488,-0.237549
489,-0.266602
490,-0.240967
491,-0.247803
492,-0.263184
493,-0.23584
494,-0.258057
495,-0.25293
496,-0.239258
497,-0.264893
498,-0.240967
499,-0.244385
500,-0.263184
501,-0.237549
502,-0.258057
503,-0.254639
504,-0.23584
505,-0.264893
506,-0.244385
507,-0.246094
508,-0.264893
509,-0.237549
510,-0.258057
511,-0.258057
512,-0.237549
513,-0.266602
514,-0.244385
515,-0.247803
516,-0.264893
517,-0.239258
518,-0.256348
519,-0.258057
520,-0.239258
521,-0.264893
522,-0.246094
523,-0.247803
524,-0.266602
525,-0.239258
526,-0.254639
527,-0.259766
528,-0.237549
529,-0.263184
530,-0.247803
531,-0.244385
532,-0.266602
533,-0.237549
534,-0.254639
535,-0.258057
536,-0.23584
537,-0.261475
538,-0.247803
539,-0.242676
540,-0.264893
541,-0.239258
542,-0.254639
543,-0.259766
544,-0.23584
545,-0.261475
546,-0.247803
547,-0.242676
548,-0.264893
549,-0.239258
550,-0.249512
551,-0.261475
552,-0.232422
553,-0.258057
554,-0.25293
555,-0.239258
556,-0.264893
557,-0.242676
558,-0.249512
559,-0.261475
560,-0.23584
561,-0.261475
562,-0.251221
563,-0.240967
564,-0.264893
565,-0.240967
566,-0.249512
567,-0.261475
568,-0.23584
569,-0.259766
570,-0.254639
571,-0.237549
572,-0.266602
573,-0.244385
574,-0.247803
575,-0.264893
576,-0.239258
577,-0.256348
578,-0.256348
579,-0.237549
580,-0.264893
581,-0.244385
582,-0.246094
583,-0.266602
584,-0.237549
585,-0.258057
586,-0.258057
587,-0.23584
588,-0.264893
589,-0.247803
590,-0.244385
591,-0.266602
592,-0.240967
593,-0.256348
594,-0.261475
595,-0.237549
596,-0.264893
597,-0.249512
598,-0.246094
599,-0.268311
600,-0.242676
601,-0.256348
602,-0.263184
603,-0.237549
604,-0.266602
605,-0.251221
606,-0.242676
607,-0.268311
608,-0.242676
609,-0.25293
610,-0.263184
611,-0.240967
612,-0.261475
613,-0.254639
614,-0.240967
615,-0.27002
616,-0.246094
617,-0.25293
618,-0.266602
619,-0.240967
620,-0.261475
621,-0.256348
622,-0.240967
623,-0.27002
624,-0.247803
625,-0.249512
626,-0.27002
627,-0.239258
628,-0.261475
629,-0.259766
630,-0.240967
631,-0.268311
632,-0.247803
633,-0.246094
634,-0.268311
635,-0.240967
636,-0.256348
637,-0.261475
638,-0.23584
639,-0.266602
640,-0.251221
641,-0.246094
642,-0.266602
643,-0.240967
644,-0.254639
645,-0.259766
646,-0.239258
647,-0.264893
648,-0.249512
649,-0.244385
650,-0.27002
651,-0.240967
652,-0.254639
653,-0.261475
654,-0.237549
655,-0.266602
656,-0.249512
657,-0.244385
658,-0.268311
659,-0.240967
660,-0.256348
661,-0.261475
662,-0.23584
663,-0.264893
664,-0.251221
665,-0.242676
666,-0.264893
667,-0.244385
668,-0.251221
669,-0.264893
670,-0.237549
671,-0.259766
672,-0.256348
673,-0.237549
674,-0.266602
675,-0.246094
676,-0.249512
677,-0.266602
678,-0.237549
679,-0.258057
680,-0.258057
681,-0.23584
682,-0.266602
683,-0.246094
684,-0.244385
685,-0.266602
686,-0.239258
687,-0.256348
688,-0.259766
689,-0.237549
690,-0.266602
691,-0.246094
692,-0.246094
693,-0.266602
694,-0.237549
695,-0.256348
696,-0.259766
697,-0.23584
698,-0.266602
699,-0.247803
700,-0.246094
701,-0.266602
702,-0.237549
703,-0.254639
704,-0.259766
705,-0.23584
706,-0.263184
707,-0.247803
708,-0.240967
709,-0.268311
710,-0.237549
711,-0.251221
712,-0.263184
713,-0.23584
714,-0.261475
715,-0.251221
716,-0.239258
717,-0.266602
718,-0.240967
719,-0.247803
720,-0.263184
721,-0.237549
722,-0.258057
723,-0.254639
724,-0.237549
725,-0.264893
726,-0.242676
727,-0.246094
728,-0.261475
729,-0.23584
730,-0.259766
731,-0.25293
732,-0.23584
733,-0.263184
734,-0.242676
735,-0.246094
736,-0.261475
737,-0.23584
738,-0.254639
739,-0.25293
740,-0.23584
741,-0.263184
742,-0.242676
743,-0.244385
744,-0.261475
745,-0.232422
746,-0.254639
747,-0.254639
748,-0.232422
749,-0.263184
750,-0.240967
751,-0.240967
752,-0.263184
753,-0.234131
754,-0.25293
755,-0.25293
756,-0.234131
757,-0.263184
758,-0.237549
759,-0.242676
760,-0.261475
761,-0.232422
762,-0.254639
763,-0.25293
764,-0.232422
765,-0.261475
766,-0.240967
767,-0.240967
768,-0.261475
769,-0.234131
770,-0.254639
771,-0.25293
772,-0.232422
773,-0.261475
774,-0.240967
775,-0.242676
776,-0.258057
777,-0.232422
778,-0.254639
779,-0.249512
780,-0.234131
781,-0.259766
782,-0.239258
783,-0.242676
784,-0.259766
785,-0.232422
786,-0.254639
787,-0.251221
788,-0.234131
789,-0.261475
790,-0.237549
791,-0.242676
792,-0.258057
793,-0.230713
794,-0.254639
795,-0.249512
796,-0.234131
797,-0.259766
798,-0.23584
799,-0.242676
800,-0.259766
801,-0.232422
802,-0.25293
803,-0.247803
804,-0.234131
805,-0.259766
806,-0.237549
807,-0.242676
808,-0.258057
809,-0.230713
810,-0.254639
811,-0.247803
812,-0.234131
813,-0.259766
814,-0.23584
815,-0.242676
816,-0.256348
817,-0.229004
818,-0.254639
819,-0.247803
820,-0.234131
821,-0.259766
822,-0.23584
823,-0.242676
824,-0.256348
