,CURRENT|1
457,0.888672
458,0.885254
459,0.869873
460,0.85791
461,0.861328
462,0.893799
463,0.90918
464,0.895508
465,0.878418
466,0.890381
467,0.931396
468,0.921143
469,0.878418
470,0.856201
471,0.845947
472,0.871582
473,0.869873
474,0.837402
475,0.833984
476,0.842529
477,0.893799
478,0.912598
479,0.885254
480,0.878418
481,0.876709
482,0.900635
483,0.878418
484,0.859619
485,0.844238
486,0.833984
487,0.883545
488,0.85791
489,0.835693
490,0.815186
491,0.822021
492,0.880127
493,0.873291
494,0.861328
495,0.859619
496,0.849365
497,0.885254
498,0.856201
499,0.830566
500,0.825439
501,0.833984
502,0.868164
503,0.839111
504,0.816895
505,0.806641
506,0.837402
507,0.910889
508,0.927979
509,0.90918
510,0.902344
511,0.904053
512,0.907471
513,0.893799
514,0.881836
515,0.875
516,0.873291
517,0.904053
518,0.89209
519,0.839111
520,0.827148
521,0.839111
522,0.883545
523,0.893799
524,0.885254
525,0.871582
526,0.854492
527,0.905762
528,0.886963
529,0.856201
530,0.830566
531,0.801514
532,0.828857
533,0.801514
534,0.799805
535,0.798096
536,0.820312
537,0.904053
538,0.912598
539,0.90918
540,0.878418
541,0.851074
542,0.885254
543,0.880127
544,0.875
545,0.863037
546,0.868164
547,0.871582
548,0.849365
549,0.84082
550,0.833984
551,0.85791
552,0.919434
553,0.934814
554,0.900635
555,0.880127
556,0.880127
557,0.912598
558,0.936523
559,0.907471
560,0.876709
561,0.859619
562,0.866455
563,0.84082
564,0.815186
565,0.827148
566,0.849365
567,0.927979
568,0.938232
569,0.904053
570,0.890381
571,0.876709
572,0.912598
573,0.897217
574,0.873291
575,0.85791
576,0.822021
577,0.864746
578,0.847656
579,0.833984
580,0.818604
581,0.847656
582,0.907471
583,0.888672
584,0.878418
585,0.845947
586,0.852783
587,0.912598
588,0.907471
589,0.883545
590,0.832275
591,0.816895
592,0.835693
593,0.82373
594,0.811768
595,0.815186
596,0.859619
597,0.914307
598,0.924561
599,0.905762
600,0.893799
601,0.910889
602,0.950195
603,0.934814
604,0.898926
605,0.868164
606,0.852783
607,0.886963
608,0.880127
609,0.839111
610,0.849365
611,0.854492
612,0.893799
613,0.897217
614,0.885254
615,0.888672
616,0.880127
617,0.92627
618,0.905762
619,0.852783
620,0.820312
621,0.798096
622,0.832275
623,0.799805
624,0.803223
625,0.818604
626,0.839111
627,0.905762
628,0.897217
629,0.890381
630,0.875
631,0.888672
632,0.912598
633,0.883545
634,0.863037
635,0.832275
636,0.832275
637,0.878418
638,0.878418
639,0.864746
640,0.837402
641,0.861328
642,0.904053
643,0.898926
644,0.905762
645,0.916016
646,0.917725
647,0.939941
648,0.92627
649,0.875
650,0.842529
651,0.830566
652,0.854492
653,0.847656
654,0.816895
655,0.835693
656,0.847656
657,0.898926
658,0.917725
659,0.916016
660,0.90918
661,0.881836
662,0.904053
663,0.876709
664,0.839111
665,0.827148
666,0.830566
667,0.873291
668,0.854492
669,0.839111
670,0.832275
671,0.835693
672,0.895508
673,0.900635
674,0.900635
675,0.871582
676,0.864746
677,0.904053
678,0.866455
679,0.835693
680,0.815186
681,0.813477
682,0.839111
683,0.839111
684,0.830566
685,0.822021
686,0.849365
687,0.924561
688,0.953613
689,0.933105
690,0.910889
691,0.897217
692,0.910889
693,0.898926
694,0.871582
695,0.871582
696,0.873291
697,0.897217
698,0.89209
699,0.84082
700,0.815186
701,0.84082
702,0.914307
703,0.912598
704,0.900635
705,0.883545
706,0.866455
707,0.898926
708,0.881836
709,0.851074
710,0.815186
711,0.796387
712,0.84082
713,0.813477
714,0.792969
715,0.787842
716,0.828857
717,0.907471
718,0.904053
719,0.895508
720,0.85791
721,0.851074
722,0.878418
723,0.85791
724,0.844238
725,0.818604
726,0.84082
727,0.869873
728,0.852783
729,0.825439
730,0.828857
731,0.869873
732,0.917725
733,0.933105
734,0.905762
735,0.866455
736,0.871582
737,0.907471
738,0.897217
739,0.863037
740,0.84082
741,0.827148
742,0.84082
743,0.820312
744,0.804932
745,0.830566
746,0.845947
747,0.90918
748,0.917725
749,0.885254
750,0.868164
751,0.845947
752,0.883545
753,0.852783
754,0.844238
755,0.847656
756,0.815186
757,0.852783
758,0.832275
759,0.828857
760,0.82373
761,0.833984
762,0.893799
763,0.864746
764,0.847656
765,0.830566
766,0.845947
767,0.881836
768,0.864746
769,0.84082
770,0.803223
771,0.799805
772,0.80835
773,0.813477
774,0.822021
775,0.832275
776,0.866455
777,0.90918
778,0.90918
779,0.89209
780,0.871582
781,0.873291
782,0.895508
783,0.893799
784,0.864746
785,0.844238
786,0.842529
787,0.873291
788,0.886963
789,0.856201
790,0.847656
791,0.845947
792,0.890381
793,0.888672
794,0.864746
795,0.852783
796,0.847656
797,0.905762
798,0.89209
799,0.84082
800,0.804932
801,0.772461
802,0.806641
803,0.799805
804,0.79126
805,0.794678
806,0.811768
807,0.876709
808,0.875
809,0.868164
810,0.844238
811,0.839111
812,0.876709
813,0.859619
814,0.84082
815,0.815186
816,0.811768
817,0.873291
818,0.875
819,0.851074
820,0.828857
821,0.851074
822,0.886963
823,0.897217
824,0.885254
825,0.875
826,0.885254
827,0.917725
828,0.907471
829,0.861328
830,0.835693
831,0.833984
832,0.864746
833,0.852783
834,0.82373
835,0.820312
836,0.833984
837,0.886963
838,0.895508
839,0.875
840,0.873291
841,0.856201
842,0.885254
843,0.873291
844,0.842529
845,0.827148
846,0.830566
847,0.871582
848,0.844238
849,0.820312
850,0.803223
851,0.810059
852,0.868164
853,0.868164
854,0.85791
855,0.844238
856,0.847656
857,0.880127
858,0.854492
859,0.830566
860,0.804932
861,0.815186
862,0.847656
863,0.82373
864,0.801514
865,0.796387
866,0.839111
867,0.897217
868,0.916016
869,0.900635
870,0.888672
871,0.885254
872,0.890381
873,0.880127
874,0.863037
875,0.861328
876,0.864746
877,0.883545
878,0.861328
879,0.818604
880,0.813477
881,0.820312
882,0.873291
883,0.886963
884,0.868164
885,0.85791
886,0.842529
887,0.883545
888,0.875
889,0.844238
890,0.816895
891,0.782715
892,0.820312
893,0.799805
894,0.79126
895,0.794678
896,0.82373
897,0.886963
898,0.893799
899,0.893799
900,0.859619
901,0.84082
902,0.863037
903,0.852783
904,0.856201
905,0.842529
906,0.849365
907,0.869873
908,0.852783
909,0.825439
910,0.820312
911,0.854492
912,0.904053
913,0.916016
914,0.890381
915,0.859619
916,0.876709
917,0.919434
918,0.921143
919,0.885254
920,0.861328
921,0.84082
922,0.845947
923,0.832275
924,0.803223
925,0.813477
926,0.84082
927,0.910889
928,0.912598
929,0.886963
930,0.876709
931,0.85791
932,0.895508
933,0.895508
934,0.868164
935,0.837402
936,0.822021
937,0.85791
938,0.837402
939,0.832275
940,0.818604
941,0.839111
942,0.907471
943,0.890381
944,0.876709
945,0.833984
946,0.851074
947,0.907471
948,0.897217
949,0.863037
950,0.813477
951,0.799805
952,0.806641
953,0.804932
954,0.80835
955,0.80835
956,0.851074
957,0.907471
958,0.931396
959,0.902344
960,0.888672
961,0.907471
962,0.927979
963,0.917725
964,0.886963
965,0.859619
966,0.844238
967,0.866455
968,0.859619
969,0.82373
970,0.830566
971,0.844238
972,0.893799
973,0.888672
974,0.864746
975,0.861328
976,0.864746
977,0.907471
978,0.878418
979,0.833984
980,0.806641
981,0.781006
982,0.811768
983,0.787842
984,0.79126
985,0.798096
986,0.815186
987,0.885254
988,0.880127
989,0.875
990,0.864746
991,0.866455
992,0.89209
993,0.864746
994,0.844238
995,0.816895
996,0.820312
997,0.866455
998,0.861328
999,0.844238
1000,0.839111
1001,0.859619
1002,0.893799
1003,0.912598
1004,0.912598
1005,0.905762
1006,0.910889
1007,0.939941
1008,0.921143
1009,0.873291
1010,0.832275
1011,0.822021
1012,0.849365
1013,0.839111
1014,0.813477
1015,0.833984
1016,0.839111
1017,0.900635
1018,0.92627
1019,0.905762
1020,0.893799
1021,0.876709
1022,0.902344
1023,0.869873
1024,0.839111
1025,0.825439
1026,0.816895
1027,0.863037
1028,0.852783
1029,0.84082
1030,0.827148
1031,0.828857
1032,0.885254
1033,0.895508
1034,0.897217
1035,0.868164
1036,0.859619
1037,0.883545
1038,0.864746
1039,0.835693
1040,0.810059
1041,0.80835
1042,0.833984
1043,0.818604
1044,0.80835
1045,0.810059
1046,0.844238
1047,0.905762
1048,0.945068
1049,0.929688
1050,0.895508
1051,0.890381
1052,0.898926
1053,0.888672
1054,0.859619
1055,0.854492
1056,0.866455
1057,0.898926
