,CURRENT|2
0,-0.06665
1,-0.06665
2,-0.064941
3,-0.064941
4,-0.06665
5,-0.064941
6,-0.06665
7,-0.06665
8,-0.068359
9,-0.06665
10,-0.06665
11,-0.064941
12,-0.06665
13,-0.071777
14,-0.064941
15,-0.06665
16,-0.06665
17,-0.068359
18,-0.06665
19,-0.071777
20,-0.06665
21,-0.068359
22,-0.068359
23,-0.068359
24,-0.06665
25,-0.068359
26,-0.068359
27,-0.068359
28,-0.06665
29,-0.068359
30,-0.068359
31,-0.068359
32,-0.068359
33,-0.068359
34,-0.068359
35,-0.06665
36,-0.068359
37,-0.068359
38,-0.06665
39,-0.068359
40,-0.070068
41,-0.070068
42,-0.068359
43,-0.070068
44,-0.068359
45,-0.068359
46,-0.070068
47,-0.070068
48,-0.068359
49,-0.068359
50,-0.070068
51,-0.06665
52,-0.070068
53,-0.070068
54,-0.070068
55,-0.070068
56,-0.070068
57,-0.070068
58,-0.070068
59,-0.070068
60,-0.070068
61,-0.070068
62,-0.071777
63,-0.070068
64,-0.071777
65,-0.070068
66,-0.071777
67,-0.071777
68,-0.071777
69,-0.070068
70,-0.071777
71,-0.071777
72,-0.071777
73,-0.071777
74,-0.071777
75,-0.071777
76,-0.071777
77,-0.071777
78,-0.071777
79,-0.071777
80,-0.071777
81,-0.071777
82,-0.071777
83,-0.071777
84,-0.071777
85,-0.073486
86,-0.073486
87,-0.073486
88,-0.071777
89,-0.071777
90,-0.073486
91,-0.071777
92,-0.073486
93,-0.073486
94,-0.071777
95,-0.073486
96,-0.071777
97,-0.073486
98,-0.073486
99,-0.073486
100,-0.071777
101,-0.071777
102,-0.071777
103,-0.071777
104,-0.071777
105,-0.071777
106,-0.073486
107,-0.071777
108,-0.071777
109,-0.071777
110,-0.073486
111,-0.071777
112,-0.071777
113,-0.071777
114,-0.071777
115,-0.073486
116,-0.073486
117,-0.071777
118,-0.071777
119,-0.073486
120,-0.073486
121,-0.075195
122,-0.073486
123,-0.073486
124,-0.073486
125,-0.073486
126,-0.073486
127,-0.075195
128,-0.075195
129,-0.075195
130,-0.073486
131,-0.075195
132,-0.073486
133,-0.071777
134,-0.073486
135,-0.073486
136,-0.073486
137,-0.073486
138,-0.075195
139,-0.075195
140,-0.073486
141,-0.073486
142,-0.073486
143,-0.075195
144,-0.071777
145,-0.076904
146,-0.075195
147,-0.073486
148,-0.073486
149,-0.073486
150,-0.075195
151,-0.073486
152,-0.075195
153,-0.073486
154,-0.073486
155,-0.073486
156,-0.071777
157,-0.073486
158,-0.073486
159,-0.075195
160,-0.073486
161,-0.073486
162,-0.075195
163,-0.073486
164,-0.073486
165,-0.073486
166,-0.073486
167,-0.075195
168,-0.075195
169,-0.075195
170,-0.075195
171,-0.075195
172,-0.075195
173,-0.075195
174,-0.075195
175,-0.076904
176,-0.076904
177,-0.076904
178,-0.075195
179,-0.073486
180,-0.075195
181,-0.076904
182,-0.075195
183,-0.078613
184,-0.076904
185,-0.071777
186,-0.075195
187,-0.073486
188,-0.075195
189,-0.078613
190,-0.075195
191,-0.075195
192,-0.076904
193,-0.080322
194,-0.078613
195,-0.070068
196,-0.076904
197,-0.080322
198,-0.075195
199,-0.078613
200,-0.071777
201,-0.076904
202,-0.073486
203,-0.071777
204,-0.082031
205,-0.078613
206,-0.070068
207,-0.075195
208,-0.078613
209,-0.071777
210,-0.071777
211,-0.082031
212,-0.078613
213,-0.071777
214,-0.076904
215,-0.085449
216,-0.078613
217,-0.070068
218,-0.080322
219,-0.082031
220,-0.070068
221,-0.073486
222,-0.085449
223,-0.080322
224,-0.070068
225,-0.075195
226,-0.08374
227,-0.075195
228,-0.070068
229,-0.078613
230,-0.082031
231,-0.076904
232,-0.073486
233,-0.075195
234,-0.080322
235,-0.082031
236,-0.071777
237,-0.075195
238,-0.085449
239,-0.076904
240,-0.071777
241,-0.082031
242,-0.082031
243,-0.075195
244,-0.073486
245,-0.08374
246,-0.080322
247,-0.071777
248,-0.073486
249,-0.08374
250,-0.078613
251,-0.068359
252,-0.082031
253,-0.082031
254,-0.071777
255,-0.075195
256,-0.085449
257,-0.080322
258,-0.068359
259,-0.082031
260,-0.08374
261,-0.071777
262,-0.073486
263,-0.080322
264,-0.085449
265,-0.075195
266,-0.073486
267,-0.082031
268,-0.08374
269,-0.076904
270,-0.071777
271,-0.080322
272,-0.08374
273,-0.073486
274,-0.073486
275,-0.085449
276,-0.080322
277,-0.070068
278,-0.075195
279,-0.076904
280,-0.071777
281,-0.073486
282,-0.080322
283,-0.073486
284,-0.070068
285,-0.080322
286,-0.082031
287,-0.075195
288,-0.076904
289,-0.08374
290,-0.076904
291,-0.070068
292,-0.082031
293,-0.082031
294,-0.068359
295,-0.076904
296,-0.08374
297,-0.070068
298,-0.075195
299,-0.085449
300,-0.078613
301,-0.071777
302,-0.082031
303,-0.08374
304,-0.073486
305,-0.075195
306,-0.076904
307,-0.080322
308,-0.073486
309,-0.080322
310,-0.080322
311,-0.070068
312,-0.082031
313,-0.080322
314,-0.075195
315,-0.076904
316,-0.076904
317,-0.076904
318,-0.075195
319,-0.075195
320,-0.087158
321,-0.080322
322,-0.071777
323,-0.075195
324,-0.08374
325,-0.08374
326,-0.073486
327,-0.078613
328,-0.08374
329,-0.078613
330,-0.071777
331,-0.082031
332,-0.08374
333,-0.076904
334,-0.076904
335,-0.076904
336,-0.08374
337,-0.080322
338,-0.080322
339,-0.078613
340,-0.076904
341,-0.076904
342,-0.080322
343,-0.080322
344,-0.078613
345,-0.076904
346,-0.076904
347,-0.078613
348,-0.075195
349,-0.080322
350,-0.082031
351,-0.071777
352,-0.076904
353,-0.085449
354,-0.082031
355,-0.071777
356,-0.076904
357,-0.080322
358,-0.082031
359,-0.075195
360,-0.080322
361,-0.08374
362,-0.075195
363,-0.078613
364,-0.082031
365,-0.08374
366,-0.075195
367,-0.076904
368,-0.080322
369,-0.080322
370,-0.080322
371,-0.080322
372,-0.080322
373,-0.076904
374,-0.080322
375,-0.080322
376,-0.078613
377,-0.078613
378,-0.082031
379,-0.078613
380,-0.078613
381,-0.082031
382,-0.082031
383,-0.080322
384,-0.075195
385,-0.080322
386,-0.080322
387,-0.076904
388,-0.076904
389,-0.08374
390,-0.078613
391,-0.075195
392,-0.078613
393,-0.076904
394,-0.082031
395,-0.08374
396,-0.076904
397,-0.078613
398,-0.075195
399,-0.078613
400,-0.082031
401,-0.075195
402,-0.080322
403,-0.078613
404,-0.080322
405,-0.080322
406,-0.076904
407,-0.078613
408,-0.078613
409,-0.080322
410,-0.080322
411,-0.082031
412,-0.080322
413,-0.080322
414,-0.080322
415,-0.076904
416,-0.080322
417,-0.080322
418,-0.076904
419,-0.076904
420,-0.082031
421,-0.080322
422,-0.080322
423,-0.078613
424,-0.076904
425,-0.080322
426,-0.078613
427,-0.085449
428,-0.082031
429,-0.078613
430,-0.078613
431,-0.080322
432,-0.080322
433,-0.082031
434,-0.080322
435,-0.076904
436,-0.082031
437,-0.082031
438,-0.080322
439,-0.080322
440,-0.082031
441,-0.080322
442,-0.080322
443,-0.080322
444,-0.082031
445,-0.080322
446,-0.080322
447,-0.080322
448,-0.080322
449,-0.078613
450,-0.082031
451,-0.080322
452,-0.080322
453,-0.080322
454,-0.080322
455,-0.078613
456,-0.082031
457,-0.078613
458,-0.076904
459,-0.08374
460,-0.080322
461,-0.08374
462,-0.078613
463,-0.078613
464,-0.080322
465,-0.082031
466,-0.082031
467,-0.080322
468,-0.080322
469,-0.082031
470,-0.082031
471,-0.080322
472,-0.080322
473,-0.080322
474,-0.080322
475,-0.080322
476,-0.080322
477,-0.082031
478,-0.080322
479,-0.082031
480,-0.080322
481,-0.080322
482,-0.082031
483,-0.082031
484,-0.082031
485,-0.082031
486,-0.080322
487,-0.080322
488,-0.080322
489,-0.082031
490,-0.080322
491,-0.080322
492,-0.080322
493,-0.082031
494,-0.080322
495,-0.082031
496,-0.082031
497,-0.082031
498,-0.080322
499,-0.082031
500,-0.082031
501,-0.080322
502,-0.082031
503,-0.080322
504,-0.082031
505,-0.080322
506,-0.082031
507,-0.082031
508,-0.082031
509,-0.082031
510,-0.082031
511,-0.082031
512,-0.08374
513,-0.08374
514,-0.08374
515,-0.082031
516,-0.08374
517,-0.08374
518,-0.082031
519,-0.08374
520,-0.082031
521,-0.082031
522,-0.082031
523,-0.082031
524,-0.082031
525,-0.082031
526,-0.082031
527,-0.082031
528,-0.08374
529,-0.082031
530,-0.082031
531,-0.082031
532,-0.082031
533,-0.082031
534,-0.082031
535,-0.082031
536,-0.082031
537,-0.08374
538,-0.08374
539,-0.080322
540,-0.082031
541,-0.08374
542,-0.082031
543,-0.082031
544,-0.082031
545,-0.082031
546,-0.080322
547,-0.082031
548,-0.082031
549,-0.082031
550,-0.082031
551,-0.082031
552,-0.082031
553,-0.080322
554,-0.082031
555,-0.082031
556,-0.082031
557,-0.082031
558,-0.082031
559,-0.082031
560,-0.080322
561,-0.080322
562,-0.082031
563,-0.080322
564,-0.080322
565,-0.082031
566,-0.082031
567,-0.08374
568,-0.082031
569,-0.082031
570,-0.082031
571,-0.08374
572,-0.082031
573,-0.082031
574,-0.082031
575,-0.082031
576,-0.082031
577,-0.082031
578,-0.082031
579,-0.082031
580,-0.082031
581,-0.082031
582,-0.082031
583,-0.082031
584,-0.082031
585,-0.08374
586,-0.082031
587,-0.082031
588,-0.082031
589,-0.082031
590,-0.082031
591,-0.082031
592,-0.08374
593,-0.082031
594,-0.082031
595,-0.082031
596,-0.08374
597,-0.08374
598,-0.08374
599,-0.08374
600,-0.08374
601,-0.08374
602,-0.08374
603,-0.082031
604,-0.08374
605,-0.08374
606,-0.082031
607,-0.082031
608,-0.082031
609,-0.082031
610,-0.080322
611,-0.082031
612,-0.082031
613,-0.08374
614,-0.082031
615,-0.082031
616,-0.082031
617,-0.082031
618,-0.082031
619,-0.082031
620,-0.082031
621,-0.08374
622,-0.082031
623,-0.082031
624,-0.082031
625,-0.08374
626,-0.08374
627,-0.08374
628,-0.082031
629,-0.082031
630,-0.08374
631,-0.082031
632,-0.082031
633,-0.082031
634,-0.08374
635,-0.082031
636,-0.080322
637,-0.080322
638,-0.080322
639,-0.080322
640,-0.078613
641,-0.080322
642,-0.080322
643,-0.080322
644,-0.080322
645,-0.080322
646,-0.080322
647,-0.078613
648,-0.080322
649,-0.082031
650,-0.080322
651,-0.078613
652,-0.078613
653,-0.080322
654,-0.078613
655,-0.080322
656,-0.080322
657,-0.082031
658,-0.080322
659,-0.080322
660,-0.080322
661,-0.080322
662,-0.080322
663,-0.080322
664,-0.080322
665,-0.080322
666,-0.080322
667,-0.080322
668,-0.078613
669,-0.080322
670,-0.082031
671,-0.080322
672,-0.080322
673,-0.078613
674,-0.080322
675,-0.080322
676,-0.078613
677,-0.080322
678,-0.078613
679,-0.078613
680,-0.078613
681,-0.076904
682,-0.078613
683,-0.078613
684,-0.076904
685,-0.078613
686,-0.076904
687,-0.078613
688,-0.076904
689,-0.076904
690,-0.075195
691,-0.078613
692,-0.080322
693,-0.080322
694,-0.078613
695,-0.078613
696,-0.076904
697,-0.078613
698,-0.078613
699,-0.078613
700,-0.078613
701,-0.078613
702,-0.078613
703,-0.078613
704,-0.078613
705,-0.078613
706,-0.078613
707,-0.076904
708,-0.078613
709,-0.075195
710,-0.076904
711,-0.078613
712,-0.073486
713,-0.076904
714,-0.080322
715,-0.076904
716,-0.080322
717,-0.085449
718,-0.078613
719,-0.073486
720,-0.080322
721,-0.075195
722,-0.078613
723,-0.080322
724,-0.078613
725,-0.078613
726,-0.082031
727,-0.078613
728,-0.078613
729,-0.080322
730,-0.078613
731,-0.078613
732,-0.078613
733,-0.078613
734,-0.078613
735,-0.078613
736,-0.078613
737,-0.078613
738,-0.076904
739,-0.076904
740,-0.075195
741,-0.076904
742,-0.076904
743,-0.075195
744,-0.085449
745,-0.082031
746,-0.071777
747,-0.078613
748,-0.082031
749,-0.078613
750,-0.076904
751,-0.076904
752,-0.076904
753,-0.078613
754,-0.078613
755,-0.08374
756,-0.078613
757,-0.071777
758,-0.080322
759,-0.082031
760,-0.076904
761,-0.073486
762,-0.078613
763,-0.076904
764,-0.078613
765,-0.076904
766,-0.078613
767,-0.076904
768,-0.076904
769,-0.076904
770,-0.080322
771,-0.078613
772,-0.075195
773,-0.076904
774,-0.078613
775,-0.080322
776,-0.075195
777,-0.076904
778,-0.078613
779,-0.076904
780,-0.076904
781,-0.078613
782,-0.075195
783,-0.075195
784,-0.08374
785,-0.076904
786,-0.078613
787,-0.076904
788,-0.082031
789,-0.075195
790,-0.075195
791,-0.080322
792,-0.082031
793,-0.080322
794,-0.078613
795,-0.080322
796,-0.076904
797,-0.076904
798,-0.078613
799,-0.078613
800,-0.080322
801,-0.078613
802,-0.080322
803,-0.080322
804,-0.078613
805,-0.078613
806,-0.080322
807,-0.078613
808,-0.078613
809,-0.078613
810,-0.082031
811,-0.080322
812,-0.076904
813,-0.076904
814,-0.078613
815,-0.080322
816,-0.078613
817,-0.078613
818,-0.078613
819,-0.080322
820,-0.080322
821,-0.075195
822,-0.08374
823,-0.080322
824,-0.078613
825,-0.078613
826,-0.080322
827,-0.080322
828,-0.080322
829,-0.078613
830,-0.076904
831,-0.080322
832,-0.080322
833,-0.08374
834,-0.078613
835,-0.078613
836,-0.078613
837,-0.080322
838,-0.078613
839,-0.076904
840,-0.085449
841,-0.080322
842,-0.082031
843,-0.078613
844,-0.076904
845,-0.078613
846,-0.078613
847,-0.078613
848,-0.078613
849,-0.078613
850,-0.078613
851,-0.078613
852,-0.080322
853,-0.078613
854,-0.080322
855,-0.078613
856,-0.078613
857,-0.076904
858,-0.080322
859,-0.080322
860,-0.076904
861,-0.085449
862,-0.080322
863,-0.078613
864,-0.078613
865,-0.078613
866,-0.078613
867,-0.080322
868,-0.078613
869,-0.078613
870,-0.078613
871,-0.080322
872,-0.080322
873,-0.078613
874,-0.078613
875,-0.075195
876,-0.076904
877,-0.085449
878,-0.078613
879,-0.08374
880,-0.085449
881,-0.076904
882,-0.076904
883,-0.080322
884,-0.082031
885,-0.076904
886,-0.076904
887,-0.078613
888,-0.080322
889,-0.075195
890,-0.076904
891,-0.082031
892,-0.078613
893,-0.080322
894,-0.078613
895,-0.078613
896,-0.078613
897,-0.076904
898,-0.076904
899,-0.078613
900,-0.076904
901,-0.076904
902,-0.076904
903,-0.076904
904,-0.076904
905,-0.078613
906,-0.076904
907,-0.078613
908,-0.075195
909,-0.080322
910,-0.078613
911,-0.073486
912,-0.078613
913,-0.082031
914,-0.076904
915,-0.073486
916,-0.075195
917,-0.078613
918,-0.075195
919,-0.078613
920,-0.08374
921,-0.080322
922,-0.078613
923,-0.082031
924,-0.078613
925,-0.073486
926,-0.076904
927,-0.080322
928,-0.076904
929,-0.076904
930,-0.075195
931,-0.078613
932,-0.082031
933,-0.075195
934,-0.076904
935,-0.080322
936,-0.076904
937,-0.080322
938,-0.076904
939,-0.076904
940,-0.078613
941,-0.073486
942,-0.080322
943,-0.080322
944,-0.080322
945,-0.071777
946,-0.076904
947,-0.085449
948,-0.078613
949,-0.071777
950,-0.075195
951,-0.082031
952,-0.078613
953,-0.078613
954,-0.078613
955,-0.078613
956,-0.073486
957,-0.078613
958,-0.080322
959,-0.071777
960,-0.075195
961,-0.080322
962,-0.076904
963,-0.070068
964,-0.078613
965,-0.082031
966,-0.075195
967,-0.071777
968,-0.078613
969,-0.08374
970,-0.075195
971,-0.070068
972,-0.078613
973,-0.080322
974,-0.070068
975,-0.073486
976,-0.082031
977,-0.076904
978,-0.068359
979,-0.075195
980,-0.08374
981,-0.071777
982,-0.071777
983,-0.080322
984,-0.076904
985,-0.06665
986,-0.076904
987,-0.080322
988,-0.071777
989,-0.070068
990,-0.080322
991,-0.080322
992,-0.068359
993,-0.075195
994,-0.082031
995,-0.075195
996,-0.068359
997,-0.071777
998,-0.08374
999,-0.073486
1000,-0.070068
1001,-0.080322
1002,-0.082031
1003,-0.068359
1004,-0.075195
1005,-0.080322
1006,-0.070068
1007,-0.071777
1008,-0.078613
1009,-0.078613
1010,-0.076904
1011,-0.070068
1012,-0.075195
1013,-0.08374
1014,-0.075195
1015,-0.06665
1016,-0.076904
1017,-0.082031
1018,-0.071777
1019,-0.070068
1020,-0.080322
1021,-0.078613
1022,-0.068359
1023,-0.075195
1024,-0.082031
1025,-0.075195
1026,-0.068359
1027,-0.073486
1028,-0.08374
1029,-0.075195
1030,-0.068359
1031,-0.075195
1032,-0.082031
1033,-0.078613
1034,-0.073486
1035,-0.073486
1036,-0.075195
1037,-0.076904
1038,-0.075195
1039,-0.078613
1040,-0.068359
1041,-0.073486
1042,-0.08374
1043,-0.078613
1044,-0.071777
1045,-0.075195
1046,-0.08374
1047,-0.076904
1048,-0.070068
1049,-0.082031
1050,-0.080322
1051,-0.068359
1052,-0.080322
1053,-0.080322
1054,-0.078613
1055,-0.073486
1056,-0.075195
1057,-0.078613
1058,-0.082031
1059,-0.075195
1060,-0.073486
1061,-0.078613
1062,-0.078613
1063,-0.073486
1064,-0.08374
1065,-0.080322
1066,-0.071777
1067,-0.076904
1068,-0.08374
1069,-0.075195
1070,-0.070068
1071,-0.080322
1072,-0.08374
1073,-0.075195
1074,-0.073486
1075,-0.076904
1076,-0.078613
1077,-0.082031
1078,-0.070068
1079,-0.075195
1080,-0.085449
1081,-0.075195
1082,-0.070068
1083,-0.075195
1084,-0.082031
1085,-0.080322
1086,-0.076904
1087,-0.073486
1088,-0.080322
1089,-0.078613
1090,-0.075195
1091,-0.071777
1092,-0.080322
1093,-0.08374
1094,-0.073486
1095,-0.075195
1096,-0.078613
1097,-0.076904
1098,-0.08374
1099,-0.076904
1100,-0.073486
1101,-0.078613
1102,-0.078613
1103,-0.078613
1104,-0.076904
1105,-0.078613
1106,-0.080322
1107,-0.076904
1108,-0.078613
1109,-0.078613
1110,-0.087158
1111,-0.080322
1112,-0.075195
1113,-0.080322
1114,-0.080322
1115,-0.078613
1116,-0.078613
1117,-0.080322
1118,-0.078613
1119,-0.080322
1120,-0.078613
1121,-0.078613
1122,-0.078613
1123,-0.080322
1124,-0.082031
1125,-0.080322
1126,-0.078613
1127,-0.078613
1128,-0.075195
1129,-0.08374
1130,-0.082031
1131,-0.078613
1132,-0.078613
1133,-0.080322
1134,-0.080322
1135,-0.078613
1136,-0.080322
1137,-0.080322
1138,-0.080322
1139,-0.082031
1140,-0.078613
1141,-0.082031
1142,-0.080322
1143,-0.080322
1144,-0.080322
1145,-0.080322
1146,-0.080322
1147,-0.078613
1148,-0.080322
1149,-0.082031
1150,-0.080322
1151,-0.078613
1152,-0.080322
1153,-0.080322
1154,-0.080322
1155,-0.080322
1156,-0.078613
1157,-0.080322
1158,-0.080322
1159,-0.080322
1160,-0.080322
1161,-0.080322
1162,-0.080322
1163,-0.082031
1164,-0.082031
1165,-0.082031
1166,-0.080322
1167,-0.082031
1168,-0.082031
1169,-0.080322
1170,-0.080322
1171,-0.080322
1172,-0.082031
1173,-0.082031
1174,-0.082031
1175,-0.082031
1176,-0.082031
1177,-0.082031
1178,-0.082031
1179,-0.082031
1180,-0.080322
1181,-0.080322
1182,-0.082031
1183,-0.08374
1184,-0.082031
1185,-0.082031
1186,-0.082031
1187,-0.080322
1188,-0.082031
1189,-0.082031
1190,-0.080322
1191,-0.080322
1192,-0.082031
1193,-0.080322
1194,-0.080322
1195,-0.082031
1196,-0.080322
1197,-0.078613
1198,-0.080322
1199,-0.080322
1200,-0.078613
1201,-0.076904
1202,-0.075195
1203,-0.078613
1204,-0.078613
1205,-0.082031
1206,-0.078613
1207,-0.076904
1208,-0.082031
1209,-0.078613
1210,-0.08374
1211,-0.075195
1212,-0.073486
1213,-0.078613
1214,-0.075195
1215,-0.078613
1216,-0.075195
1217,-0.076904
1218,-0.078613
1219,-0.075195
1220,-0.076904
1221,-0.075195
1222,-0.076904
1223,-0.075195
1224,-0.080322
1225,-0.078613
1226,-0.080322
1227,-0.073486
1228,-0.071777
1229,-0.08374
1230,-0.082031
1231,-0.075195
1232,-0.073486
1233,-0.085449
1234,-0.075195
1235,-0.075195
1236,-0.08374
1237,-0.076904
1238,-0.071777
1239,-0.078613
1240,-0.078613
1241,-0.076904
1242,-0.08374
1243,-0.075195
1244,-0.076904
1245,-0.078613
1246,-0.080322
1247,-0.076904
1248,-0.080322
1249,-0.078613
1250,-0.076904
1251,-0.080322
1252,-0.080322
1253,-0.078613
1254,-0.075195
1255,-0.078613
1256,-0.080322
1257,-0.076904
1258,-0.082031
1259,-0.076904
1260,-0.073486
1261,-0.075195
1262,-0.073486
1263,-0.085449
1264,-0.078613
1265,-0.070068
1266,-0.075195
1267,-0.082031
1268,-0.078613
1269,-0.071777
1270,-0.076904
1271,-0.078613
1272,-0.075195
1273,-0.075195
1274,-0.078613
1275,-0.076904
1276,-0.075195
1277,-0.078613
1278,-0.075195
1279,-0.080322
1280,-0.075195
1281,-0.076904
1282,-0.073486
1283,-0.075195
1284,-0.076904
1285,-0.080322
1286,-0.082031
1287,-0.076904
1288,-0.071777
1289,-0.076904
1290,-0.082031
1291,-0.071777
1292,-0.076904
1293,-0.080322
1294,-0.080322
1295,-0.071777
1296,-0.076904
1297,-0.08374
1298,-0.076904
1299,-0.073486
1300,-0.078613
1301,-0.080322
1302,-0.075195
1303,-0.073486
1304,-0.08374
1305,-0.080322
1306,-0.068359
1307,-0.078613
1308,-0.082031
1309,-0.071777
1310,-0.076904
1311,-0.082031
1312,-0.078613
1313,-0.068359
1314,-0.080322
1315,-0.080322
1316,-0.070068
1317,-0.076904
1318,-0.08374
1319,-0.073486
1320,-0.070068
1321,-0.076904
1322,-0.08374
1323,-0.073486
1324,-0.070068
1325,-0.08374
1326,-0.078613
1327,-0.068359
1328,-0.075195
1329,-0.082031
1330,-0.078613
1331,-0.071777
1332,-0.071777
1333,-0.085449
1334,-0.076904
1335,-0.075195
1336,-0.075195
1337,-0.082031
1338,-0.075195
1339,-0.071777
1340,-0.076904
1341,-0.076904
1342,-0.070068
1343,-0.073486
1344,-0.08374
1345,-0.073486
1346,-0.06665
1347,-0.075195
1348,-0.08374
1349,-0.078613
1350,-0.068359
1351,-0.078613
1352,-0.08374
1353,-0.071777
1354,-0.068359
1355,-0.082031
1356,-0.082031
1357,-0.070068
1358,-0.073486
1359,-0.080322
1360,-0.076904
1361,-0.070068
1362,-0.076904
1363,-0.085449
1364,-0.075195
1365,-0.071777
1366,-0.080322
1367,-0.080322
1368,-0.073486
1369,-0.070068
1370,-0.080322
1371,-0.078613
1372,-0.06665
1373,-0.076904
1374,-0.082031
1375,-0.070068
1376,-0.070068
1377,-0.080322
1378,-0.078613
1379,-0.070068
1380,-0.06665
1381,-0.080322
1382,-0.076904
1383,-0.064941
1384,-0.075195
1385,-0.078613
1386,-0.073486
1387,-0.073486
1388,-0.075195
1389,-0.070068
1390,-0.075195
1391,-0.075195
1392,-0.073486
1393,-0.073486
1394,-0.078613
1395,-0.071777
1396,-0.070068
1397,-0.071777
1398,-0.080322
1399,-0.071777
1400,-0.071777
1401,-0.073486
1402,-0.076904
1403,-0.073486
1404,-0.06665
1405,-0.073486
1406,-0.073486
1407,-0.064941
1408,-0.073486
1409,-0.080322
1410,-0.071777
