time,value
94650,-1.2628
94660,-1.3202
94670,-1.5498
94680,-1.435
94690,-1.3776
94700,-1.3776
94710,-1.3776
94720,-1.4924000000000002
94730,-1.6071999999999995
94740,-1.8368
94750,-1.6646
94760,-1.5498
94770,-1.6646
94780,-1.5498
94790,-1.435
94800,-1.5498
94810,-1.4924000000000002
94820,-1.435
94830,-1.3776
94840,-1.435
94850,-1.435
94860,-1.3776
94870,-1.3776
94880,-1.5498
94890,-1.5498
94900,-1.435
94910,-1.435
94920,-1.5498
94930,-1.435
94940,-1.435
94950,-1.435
94960,-1.2054
94970,-1.3202
94980,-1.2054
94990,-1.2628
95000,-1.148
95010,-1.2628
95020,-1.3202
95030,-0.9758
95040,-1.2628
95050,-1.0906
95060,-1.2628
95070,-1.148
95080,-1.0906
95090,-1.0906
95100,-1.0906
95110,-0.9758
95120,-1.148
95130,-1.0332
95140,-1.148
95150,-0.861
95160,-0.9758
95170,-0.9758
95180,-0.9184
95190,-0.9184
95200,-0.9758
95210,-0.861
95220,-0.9758
95230,-0.9184
95240,-0.7462
95250,-0.7462
95260,-0.6888
95270,-0.574
95280,-0.574
95290,-0.6314
95300,-0.5166
95310,-0.574
95320,-0.6314
95330,-0.6888
95340,-0.574
95350,-0.5166
95360,-0.574
95370,-0.574
95380,-0.7462
95390,-0.6888
95400,-0.574
95410,-0.6314
95420,-0.574
95430,-0.5166
95440,-0.574
95450,-0.5166
95460,-0.7462
95470,-0.574
95480,-0.6314
95490,-0.9184
95500,-0.9184
95510,-0.8035999999999998
95520,-0.7462
95530,-0.9184
95540,-1.0332
95550,-1.2054
95560,-1.3202
95570,-1.435
95580,-1.435
95590,-1.4924000000000002
95600,-1.6071999999999995
95610,-1.5498
95620,-1.6646
95630,-1.722
95640,-1.6646
95650,-1.7794
95660,-1.722
95670,-1.8368
95680,-1.8942
95690,-1.8942
95700,-1.8942
95710,-1.8942
95720,-1.8942
95730,-1.8942
95740,-1.8368
95750,-1.7794
95760,-1.7794
95770,-1.6071999999999995
95780,-1.4924000000000002
95790,-1.2628
95800,-1.148
95810,-0.9758
95820,-1.0332
95830,-0.9758
95840,-0.9184
95850,-0.861
95860,-0.8035999999999998
95870,-0.7462
95880,-0.6888
95890,-0.5166
95900,-0.287
95910,0.0
95920,0.287
95930,0.6888
95940,1.148
95950,1.435
95960,1.3776
95970,1.0906
95980,0.861
95990,0.9184
96000,0.9758
96010,0.9184
96020,1.3202
96030,1.2054
96040,1.2628
96050,1.3202
96060,1.3202
96070,1.2054
96080,1.2054
96090,1.3202
96100,1.2054
96110,1.3776
96120,1.4924000000000002
96130,1.3776
96140,1.3202
96150,1.435
96160,1.6071999999999995
96170,1.4924000000000002
96180,1.6071999999999995
96190,1.3776
96200,1.4924000000000002
96210,1.5498
96220,1.3202
96230,1.2054
96240,1.3776
96250,1.3776
96260,1.3202
96270,1.3202
96280,1.3202
96290,1.3776
96300,1.4924000000000002
96310,1.3776
96320,1.3202
96330,1.435
96340,1.2054
96350,1.2054
96360,1.2628
96370,1.2054
96380,1.3202
96390,1.2054
96400,1.3202
96410,1.3202
96420,1.2628
96430,1.2054
96440,1.2054
96450,1.2628
96460,0.9184
96470,1.0906
96480,0.9758
96490,1.0906
96500,0.9758
96510,1.148
96520,1.0906
96530,1.0332
96540,1.0332
96550,1.0906
96560,0.9758
96570,1.0332
96580,0.9758
96590,0.861
96600,0.7462
96610,0.8035999999999998
96620,0.9184
96630,0.8035999999999998
96640,0.7462
96650,0.8035999999999998
96660,0.6888
96670,0.6314
96680,0.574
96690,0.5166
96700,0.6888
96710,0.6888
96720,0.6314
96730,0.6314
96740,0.5166
96750,0.5166
96760,0.6888
96770,0.6314
96780,0.7462
96790,0.574
96800,0.5166
96810,0.4017999999999999
96820,0.4592
96830,0.6888
96840,0.5166
96850,0.6314
96860,0.574
96870,0.861
96880,0.6888
96890,0.5166
96900,0.6314
96910,0.6314
96920,0.5166
96930,0.4592
96940,0.6888
96950,0.861
96960,1.0332
96970,1.148
96980,1.2628
96990,1.3202
97000,1.3776
97010,1.3776
97020,1.435
97030,1.4924000000000002
97040,1.4924000000000002
97050,1.5498
97060,1.6646
97070,1.6071999999999995
97080,1.6071999999999995
97090,1.6646
97100,1.6646
97110,1.6071999999999995
97120,1.6071999999999995
97130,1.6071999999999995
97140,1.5498
97150,1.435
97160,1.148
97170,0.9184
97180,0.8035999999999998
97190,0.7462
97200,0.7462
97210,0.7462
97220,0.6888
97230,0.6888
97240,0.574
97250,0.4592
97260,0.4592
97270,0.3444
97280,0.3444
97290,0.2296
97300,0.0574
97310,-0.1148
97320,-0.3444
97330,-0.6888
97340,-1.148
97350,-1.3776
97360,-1.3776
97370,-1.2054
97380,-1.0332
97390,-1.148
97400,-1.3202
97410,-1.2628
97420,-1.148
97430,-1.2054
97440,-0.9758
97450,-1.148
97460,-1.148
97470,-1.2628
97480,-1.3202
97490,-1.5498
97500,-1.5498
97510,-1.3776
97520,-1.3776
97530,-1.3202
97540,-1.435
97550,-1.5498
97560,-1.8368
97570,-1.6646
97580,-1.435
97590,-1.6646
97600,-1.5498
97610,-1.435
97620,-1.6646
97630,-1.5498
97640,-1.435
97650,-1.3202
97660,-1.435
97670,-1.435
97680,-1.3776
97690,-1.435
97700,-1.5498
97710,-1.4924000000000002
97720,-1.435
97730,-1.435
97740,-1.4924000000000002
97750,-1.4924000000000002
97760,-1.435
97770,-1.435
97780,-1.3202
97790,-1.435
97800,-1.2054
97810,-1.3776
97820,-1.148
97830,-1.2628
97840,-1.435
97850,-1.0332
97860,-1.2628
97870,-1.0906
97880,-1.3202
97890,-1.2054
97900,-1.2628
97910,-1.0332
97920,-1.0906
97930,-0.9184
97940,-1.0906
97950,-0.9184
97960,-1.0906
97970,-0.7462
97980,-0.9184
97990,-1.0332
98000,-0.8035999999999998
98010,-0.861
98020,-0.861
