time,value
50710,-1.7794
50720,-1.7794
50730,-1.6646
50740,-1.4924000000000002
50750,-1.2054
50760,-0.9758
50770,-0.8035999999999998
50780,-0.861
50790,-0.861
50800,-0.861
50810,-0.8035999999999998
50820,-0.6888
50830,-0.6888
50840,-0.574
50850,-0.5166
50860,-0.5166
50870,-0.3444
50880,-0.287
50890,-0.287
50900,-0.2296
50910,-0.1148
50920,0.0574
50930,0.287
50940,0.4592
50950,0.7462
50960,1.148
50970,1.2628
50980,1.2628
50990,1.0906
51000,0.9184
51010,0.861
51020,1.0332
51030,1.0332
51040,0.9758
51050,1.3202
51060,1.148
51070,1.148
51080,1.3202
51090,1.3776
51100,1.2628
51110,1.3776
51120,1.3776
51130,1.2054
51140,1.3202
51150,1.3776
51160,1.3776
51170,1.2054
51180,1.148
51190,1.148
51200,1.3202
51210,1.3202
51220,1.0906
51230,1.2054
51240,1.148
51250,1.0906
51260,1.2054
51270,0.9758
51280,0.9758
51290,1.2054
51300,1.0906
51310,0.9758
51320,1.0332
51330,1.148
51340,1.0332
51350,1.0332
51360,0.9184
51370,1.0906
51380,1.0906
51390,1.0332
51400,0.9758
51410,0.9758
51420,1.0332
51430,0.9758
51440,0.861
51450,1.0906
51460,1.0332
51470,1.0332
51480,0.861
51490,1.0332
51500,1.0332
51510,1.0332
51520,0.9184
51530,1.2054
51540,1.0332
51550,1.0332
51560,0.9758
51570,1.148
51580,1.148
51590,0.9184
51600,0.9758
51610,1.0906
51620,1.0332
51630,0.9184
51640,0.861
51650,1.0906
51660,1.0332
51670,0.9184
51680,0.9184
51690,1.0332
51700,1.0332
51710,0.9758
51720,0.9184
51730,1.2054
51740,0.9758
51750,1.0332
51760,0.9758
51770,1.0906
51780,1.148
51790,1.0332
51800,1.0906
51810,1.0906
51820,1.0906
51830,1.0332
51840,0.9184
51850,1.0906
51860,1.0906
51870,1.0332
51880,0.9758
51890,1.0332
51900,1.0332
51910,1.0332
51920,0.861
51930,1.0332
51940,0.9184
51950,0.861
51960,0.8035999999999998
51970,0.9184
51980,0.9758
51990,0.7462
52000,0.7462
52010,0.9184
52020,0.8035999999999998
52030,0.861
52040,0.6888
52050,0.8035999999999998
52060,0.861
52070,0.6888
52080,0.7462
52090,0.6314
52100,0.5166
52110,0.4592
52120,0.4592
52130,0.5166
52140,0.6888
52150,0.5166
52160,0.574
52170,0.6314
52180,0.8035999999999998
52190,0.574
52200,0.5166
52210,0.6888
52220,0.574
52230,0.4017999999999999
52240,0.574
52250,0.7462
52260,0.9758
52270,1.148
52280,1.2628
52290,1.3202
52300,1.435
52310,1.435
52320,1.5498
52330,1.4924000000000002
52340,1.6646
52350,1.6646
52360,1.722
52370,1.7794
52380,1.722
52390,1.6071999999999995
52400,1.722
52410,1.6646
52420,1.4924000000000002
52430,1.3202
52440,1.0906
52450,0.861
52460,0.8035999999999998
52470,0.8035999999999998
52480,0.8035999999999998
52490,0.7462
52500,0.6888
52510,0.574
52520,0.574
52530,0.574
52540,0.4592
52550,0.4592
52560,0.3444
52570,0.287
52580,0.2296
52590,0.1722
52600,0.1148
52610,0.0
52620,-0.2296
52630,-0.5166
52640,-0.8035999999999998
52650,-1.2054
52660,-1.3202
52670,-1.3202
52680,-1.2054
52690,-0.9758
52700,-1.0332
52710,-1.3202
52720,-1.2628
