time,value
3410,1.5498
3420,1.3776
3430,1.3776
3440,1.2054
3450,1.2054
3460,1.148
3470,1.2628
3480,1.2054
3490,1.435
3500,1.148
3510,1.3202
3520,1.3202
3530,1.2054
3540,1.0906
3550,1.2054
3560,1.2054
3570,1.0906
3580,1.2054
3590,1.0906
3600,1.148
3610,1.0332
3620,0.861
3630,0.9758
3640,0.9184
3650,0.861
3660,0.861
3670,0.861
3680,0.861
3690,0.861
3700,0.6888
3710,0.7462
3720,0.7462
3730,0.9758
3740,0.861
3750,0.8035999999999998
3760,0.8035999999999998
3770,0.7462
3780,0.6888
3790,0.861
3800,0.8035999999999998
3810,0.8035999999999998
3820,0.7462
3830,0.861
3840,1.148
3850,1.0906
3860,0.9184
3870,0.8035999999999998
3880,0.9758
3890,1.148
3900,1.435
3910,1.4924000000000002
3920,1.6646
3930,1.8368
3940,1.8368
3950,1.8368
3960,1.8942
3970,1.9516
3980,2.0664
3990,2.0664
4000,2.1238
4010,2.1812
4020,2.1812
4030,2.296
4040,2.296
4050,2.296
4060,2.4108
4070,2.4108
4080,2.3534
4090,2.4108
4100,2.4682
4110,2.4108
4120,2.4108
4130,2.4682
4140,2.2386
4150,2.1238
4160,1.8368
4170,1.3776
4180,1.0332
4190,0.9184
4200,0.9758
4210,1.0332
4220,0.8035999999999998
4230,0.8035999999999998
4240,0.4592
4250,0.287
4260,0.0
4270,-0.4017999999999999
4280,-0.9184
4290,-1.3776
4300,-1.4924000000000002
4310,-1.435
4320,-1.4924000000000002
4330,-1.3202
4340,-1.3202
4350,-1.3776
4360,-1.2054
4370,-1.3776
4380,-1.435
4390,-1.5498
4400,-1.4924000000000002
4410,-1.435
4420,-1.4924000000000002
4430,-1.6071999999999995
4440,-1.5498
4450,-1.6071999999999995
4460,-1.5498
4470,-1.7794
4480,-1.722
4490,-1.6646
4500,-1.722
4510,-1.8368
4520,-1.8368
4530,-1.8368
4540,-1.722
4550,-1.7794
4560,-2.0090000000000003
4570,-1.6071999999999995
4580,-1.4924000000000002
4590,-1.6071999999999995
4600,-1.5498
4610,-1.5498
4620,-1.5498
4630,-1.4924000000000002
4640,-1.6646
4650,-1.7794
4660,-1.722
4670,-1.6071999999999995
4680,-1.7794
4690,-1.6646
4700,-1.5498
4710,-1.6646
4720,-1.4924000000000002
4730,-1.4924000000000002
4740,-1.3776
4750,-1.5498
4760,-1.435
4770,-1.4924000000000002
4780,-1.6071999999999995
4790,-1.435
4800,-1.7794
4810,-1.3202
4820,-1.4924000000000002
4830,-1.3202
4840,-1.2628
4850,-1.2628
4860,-1.2628
4870,-1.2054
4880,-1.2054
4890,-1.0906
4900,-1.3202
4910,-1.148
4920,-1.2628
4930,-1.2054
4940,-1.0906
4950,-0.9758
4960,-1.0906
4970,-1.148
4980,-1.0906
4990,-0.9758
5000,-0.9758
5010,-0.861
5020,-0.8035999999999998
5030,-0.7462
5040,-0.6888
5050,-0.6888
5060,-0.8035999999999998
5070,-0.6888
5080,-0.7462
5090,-0.5166
5100,-0.6314
5110,-0.7462
5120,-0.7462
5130,-0.8035999999999998
5140,-0.6314
5150,-0.7462
5160,-0.6314
5170,-0.7462
5180,-0.9184
5190,-0.861
5200,-1.0332
5210,-0.7462
5220,-0.861
5230,-0.8035999999999998
5240,-0.861
5250,-1.0332
5260,-0.9184
5270,-0.6314
5280,-0.6314
5290,-0.8035999999999998
5300,-1.0906
5310,-1.2628
5320,-1.4924000000000002
5330,-1.6071999999999995
5340,-1.6646
5350,-1.6646
5360,-1.722
5370,-1.8368
5380,-1.8942
5390,-1.8368
5400,-1.9516
5410,-1.9516
5420,-2.0664
5430,-2.0664
5440,-2.0664
5450,-2.1812
5460,-2.1812
5470,-2.2386
5480,-2.1812
5490,-2.1812
5500,-2.1238
5510,-2.1812
5520,-2.0664
5530,-1.8942
5540,-1.6071999999999995
5550,-1.2628
5560,-0.9758
5570,-0.8035999999999998
5580,-0.9758
5590,-0.8035999999999998
5600,-0.6888
5610,-0.7462
5620,-0.5166
5630,-0.5166
5640,-0.2296
5650,-0.1148
5660,0.0
5670,0.4017999999999999
5680,0.8035999999999998
5690,1.148
5700,1.3202
5710,1.435
5720,1.5498
5730,1.3776
5740,1.2628
5750,1.4924000000000002
5760,1.4924000000000002
5770,1.2054
5780,1.2628
5790,1.2054
5800,1.3202
5810,1.3202
5820,1.2628
5830,1.4924000000000002
5840,1.6646
5850,1.5498
5860,1.6071999999999995
5870,1.3776
5880,1.435
5890,1.435
5900,1.6071999999999995
