time,value
159360,-1.148
159370,-0.8035999999999998
159380,-0.287
159390,0.3444
159400,1.148
159410,1.4924000000000002
159420,1.4924000000000002
159430,1.435
159440,1.148
159450,1.0906
159460,1.2054
159470,0.9758
159480,1.148
159490,1.0906
159500,1.2054
159510,1.148
159520,1.2628
159530,1.435
159540,1.435
159550,1.3776
159560,1.3202
159570,1.3776
159580,1.2628
159590,1.2628
159600,1.2628
159610,1.2054
159620,1.2054
159630,1.148
159640,1.148
159650,1.0332
159660,1.0906
159670,1.0906
159680,1.0906
159690,1.148
159700,1.0332
159710,1.2054
159720,1.148
159730,1.0906
159740,1.148
159750,1.2054
159760,1.0906
159770,1.0906
159780,1.0332
159790,1.0906
159800,0.9758
159810,0.9758
159820,1.0332
159830,0.9758
159840,0.9184
159850,0.9184
159860,0.861
159870,1.0906
159880,0.9184
159890,0.9184
159900,0.9184
159910,1.0332
159920,0.9758
159930,1.0906
159940,1.0906
159950,1.2054
159960,1.148
159970,1.0906
159980,1.0906
159990,1.2054
160000,1.148
160010,0.9758
160020,1.0332
160030,1.0906
160040,1.0332
160050,1.0332
160060,0.9184
160070,1.0906
160080,0.9758
160090,0.9184
160100,0.9184
160110,1.0906
160120,0.9758
160130,1.0332
160140,0.9184
160150,1.3202
160160,1.0332
160170,1.0332
160180,1.148
160190,1.2054
160200,1.148
160210,0.9758
160220,1.0906
160230,1.0906
160240,1.0332
160250,1.0332
160260,0.9184
160270,1.148
160280,1.0332
160290,0.9758
160300,0.861
160310,0.9758
160320,0.9758
160330,1.0332
160340,0.9184
160350,1.0906
160360,0.9758
160370,0.861
160380,0.861
160390,0.9758
160400,1.0332
160410,0.8035999999999998
160420,0.7462
160430,0.8035999999999998
160440,0.7462
160450,0.6888
160460,0.574
160470,0.6888
160480,0.574
160490,0.6314
160500,0.4017999999999999
160510,0.5166
160520,0.4017999999999999
160530,0.4017999999999999
160540,0.574
160550,0.4017999999999999
160560,0.4592
160570,0.5166
160580,0.6888
160590,0.5166
160600,0.574
160610,0.574
160620,0.574
160630,0.6888
160640,0.9758
160650,0.9758
160660,0.8035999999999998
160670,0.6314
160680,0.5166
160690,0.6314
160700,0.7462
160710,0.9184
160720,0.9184
160730,0.9184
160740,0.9184
160750,0.9184
160760,0.9184
160770,0.9758
160780,0.9758
160790,1.0332
160800,1.0332
160810,1.0332
160820,1.0332
160830,1.0906
160840,1.0906
160850,1.0906
160860,1.148
160870,1.148
160880,1.148
160890,1.2054
160900,1.2628
160910,1.2628
160920,1.2628
160930,1.2628
160940,1.2628
160950,1.2628
160960,1.3202
160970,1.3776
160980,1.3202
160990,1.3202
161000,1.3776
161010,1.3202
161020,1.2628
161030,1.148
161040,0.9184
161050,0.6888
161060,0.2296
161070,-0.2296
161080,-0.9184
161090,-1.3776
161100,-1.4924000000000002
161110,-1.435
161120,-1.148
161130,-0.861
161140,-1.0906
161150,-1.0332
161160,-1.148
161170,-1.2054
161180,-1.3202
161190,-1.3776
161200,-1.3776
161210,-1.2054
161220,-1.2628
161230,-1.3202
161240,-1.3202
161250,-1.435
161260,-1.5498
161270,-1.3202
161280,-1.2628
161290,-1.2054
161300,-1.148
161310,-1.3776
161320,-1.3776
161330,-1.3202
161340,-1.0906
161350,-1.3776
161360,-1.3776
161370,-1.2054
161380,-1.148
161390,-1.148
161400,-1.3776
161410,-1.148
161420,-1.148
161430,-1.0906
161440,-1.2054
161450,-1.0332
161460,-0.9758
161470,-1.0332
161480,-1.2054
161490,-1.0332
161500,-1.148
161510,-1.0332
161520,-1.2054
161530,-1.148
161540,-1.148
161550,-1.0906
161560,-1.148
161570,-1.0332
161580,-1.0906
161590,-0.9758
161600,-1.2628
161610,-1.0906
161620,-0.9758
161630,-0.9184
161640,-1.148
161650,-1.0332
161660,-0.9184
161670,-1.0332
161680,-1.148
161690,-0.9758
161700,-1.0332
161710,-1.0332
161720,-1.2628
161730,-1.0906
161740,-1.0332
161750,-1.0906
161760,-1.3202
161770,-1.0906
161780,-1.148
161790,-1.0332
161800,-1.2628
161810,-1.0906
161820,-0.9758
161830,-0.9758
161840,-1.148
161850,-0.9758
161860,-0.861
161870,-1.0332
161880,-1.148
161890,-0.9758
161900,-0.9758
161910,-0.9758
161920,-1.2628
161930,-1.0906
161940,-1.0332
161950,-1.0906
161960,-1.148
161970,-1.0906
161980,-1.148
161990,-1.0906
162000,-1.3202
162010,-1.0906
162020,-0.9758
162030,-0.9758
162040,-1.0906
162050,-0.9184
162060,-0.9184
162070,-0.861
162080,-1.0332
162090,-0.9184
162100,-0.6314
162110,-0.8035999999999998
162120,-0.8035999999999998
162130,-0.861
162140,-0.6888
162150,-0.6314
162160,-0.6888
162170,-0.7462
162180,-0.861
162190,-0.6888
162200,-0.574
162210,-0.4592
162220,-0.4592
162230,-0.574
162240,-0.574
162250,-0.6888
162260,-0.6314
162270,-0.7462
162280,-0.6888
162290,-0.7462
162300,-0.574
162310,-0.5166
162320,-0.7462
162330,-0.861
162340,-0.9184
162350,-0.7462
162360,-0.574
162370,-0.6888
162380,-0.8035999999999998
162390,-1.0332
162400,-1.0906
162410,-1.148
162420,-1.148
162430,-1.148
162440,-1.148
162450,-1.2054
162460,-1.2628
162470,-1.3202
162480,-1.3202
162490,-1.3776
162500,-1.3776
162510,-1.3776
162520,-1.435
162530,-1.435
162540,-1.435
162550,-1.4924000000000002
162560,-1.5498
162570,-1.5498
162580,-1.6071999999999995
162590,-1.6646
162600,-1.6071999999999995
162610,-1.6646
162620,-1.6646
162630,-1.722
162640,-1.7794
162650,-1.722
162660,-1.722
162670,-1.7794
162680,-1.7794
162690,-1.7794
162700,-1.7794
162710,-1.722
162720,-1.6071999999999995
162730,-1.3776
