time,value
60850,-1.7794
60860,-1.6071999999999995
60870,-1.6646
60880,-1.5498
60890,-1.3202
60900,-1.2054
60910,-1.148
60920,-1.148
60930,-1.0906
60940,-1.0906
60950,-0.9758
60960,-0.9758
60970,-0.861
60980,-0.7462
60990,-0.574
61000,-0.287
61010,0.0574
61020,0.5166
61030,0.9758
61040,1.2628
61050,1.3776
61060,1.2054
61070,0.9758
61080,0.9184
61090,0.9758
61100,0.9184
61110,1.2628
61120,1.2054
61130,1.0332
61140,1.2628
61150,1.3776
61160,1.2054
61170,1.3202
61180,1.2628
61190,1.2054
61200,1.2628
61210,1.3202
61220,1.2628
61230,1.148
61240,1.148
61250,1.148
61260,1.3202
61270,1.3202
61280,1.0906
61290,1.148
61300,1.148
61310,1.0906
61320,1.2054
61330,1.0332
61340,0.9758
61350,1.2054
61360,1.0332
61370,0.9758
61380,0.9758
61390,1.148
61400,1.0332
61410,1.0332
61420,0.9758
61430,1.2054
61440,1.0332
61450,0.9758
61460,0.9758
61470,0.9758
61480,0.9758
61490,0.9758
61500,0.861
61510,1.0906
61520,1.0332
61530,0.9758
61540,0.861
61550,1.0332
61560,1.0332
61570,0.9758
61580,0.9184
61590,1.2054
61600,0.9758
61610,1.0332
61620,0.9184
61630,1.148
61640,1.0906
61650,0.9184
61660,0.9758
61670,1.0332
61680,1.0332
61690,0.9184
61700,0.8035999999999998
61710,1.0906
61720,0.9758
61730,0.9184
61740,0.861
61750,1.0332
61760,1.0332
61770,0.9758
61780,0.9184
61790,1.148
61800,0.9758
61810,0.9758
61820,0.9184
61830,1.0906
61840,1.148
61850,0.861
61860,1.0906
61870,1.148
61880,1.0906
61890,1.0332
61900,0.9758
61910,1.148
61920,1.0332
61930,0.9758
61940,0.9184
61950,0.9758
61960,1.0332
61970,0.9758
61980,0.861
61990,0.9758
62000,0.9758
62010,0.8035999999999998
62020,0.8035999999999998
62030,0.9184
62040,0.861
62050,0.7462
62060,0.8035999999999998
62070,0.9184
62080,0.861
62090,0.861
62100,0.6888
62110,0.8035999999999998
62120,0.7462
62130,0.6314
62140,0.6888
62150,0.6888
62160,0.4592
62170,0.5166
62180,0.4592
62190,0.4592
62200,0.6888
62210,0.574
62220,0.574
62230,0.6314
62240,0.8035999999999998
62250,0.574
62260,0.5166
62270,0.6314
62280,0.574
62290,0.4017999999999999
62300,0.574
62310,0.7462
62320,0.9758
62330,1.0906
62340,1.3202
62350,1.3202
62360,1.435
62370,1.435
62380,1.435
62390,1.4924000000000002
62400,1.6071999999999995
62410,1.6646
62420,1.5498
62430,1.722
62440,1.6646
62450,1.722
62460,1.7794
62470,1.6646
62480,1.722
62490,1.6071999999999995
62500,1.6071999999999995
62510,1.435
62520,1.3202
62530,1.148
62540,0.8035999999999998
62550,0.8035999999999998
62560,0.8035999999999998
62570,0.8035999999999998
62580,0.6888
62590,0.7462
62600,0.6888
62610,0.574
62620,0.5166
62630,0.4592
62640,0.4017999999999999
62650,0.3444
62660,0.1722
62670,0.0574
62680,-0.0574
62690,-0.287
62700,-0.7462
62710,-1.0906
62720,-1.3776
62730,-1.3776
62740,-1.2054
62750,-0.9758
62760,-1.0332
62770,-1.2628
62780,-1.2054
62790,-1.148
62800,-1.3202
62810,-1.0906
62820,-1.148
62830,-1.2054
62840,-1.2628
62850,-1.3202
62860,-1.5498
62870,-1.435
62880,-1.3776
62890,-1.2628
62900,-1.2628
62910,-1.2628
62920,-1.3202
62930,-1.4924000000000002
62940,-1.3776
62950,-1.3776
62960,-1.3202
62970,-1.2628
62980,-1.3202
62990,-1.2628
63000,-1.2054
63010,-1.2054
63020,-1.2054
63030,-1.0906
63040,-1.148
63050,-1.0332
63060,-1.148
63070,-1.0906
63080,-1.148
63090,-0.9758
63100,-1.2054
63110,-1.0906
63120,-0.9758
63130,-1.0332
63140,-1.148
63150,-1.0906
63160,-1.0906
63170,-1.0332
63180,-1.148
63190,-1.2054
63200,-0.9758
63210,-1.0332
63220,-1.148
63230,-1.0906
63240,-0.9758
63250,-0.9184
63260,-1.148
63270,-0.9758
63280,-0.9758
63290,-0.9184
63300,-1.148
63310,-1.0906
63320,-0.9184
63330,-0.9758
63340,-1.0906
63350,-1.0906
63360,-0.9758
63370,-0.9184
63380,-1.148
63390,-1.0906
63400,-0.9758
63410,-1.0332
63420,-1.148
63430,-1.0906
63440,-1.0906
63450,-0.9184
63460,-1.148
63470,-1.0906
63480,-0.9758
63490,-0.9184
63500,-1.0906
63510,-1.0906
63520,-0.9184
63530,-0.9758
63540,-1.0906
63550,-1.0906
63560,-1.0332
63570,-0.9184
63580,-1.0906
63590,-1.0906
63600,-1.0332
63610,-0.9758
63620,-1.2054
63630,-1.148
63640,-1.148
63650,-0.9184
63660,-1.2054
63670,-0.9184
63680,-0.9184
63690,-0.861
63700,-0.9758
63710,-0.861
63720,-0.7462
63730,-0.8035999999999998
63740,-0.9184
63750,-0.9758
63760,-0.861
63770,-0.7462
63780,-0.8035999999999998
63790,-0.9758
63800,-0.8035999999999998
63810,-0.7462
63820,-0.6314
63830,-0.5166
63840,-0.6888
63850,-0.7462
63860,-0.6888
63870,-0.5166
63880,-0.4592
63890,-0.4592
63900,-0.4017999999999999
63910,-0.5166
63920,-0.574
63930,-0.6314
63940,-0.5166
63950,-0.6314
63960,-0.861
63970,-0.7462
63980,-0.574
63990,-0.6314
64000,-0.861
64010,-1.0332
64020,-1.2054
64030,-1.3202
64040,-1.3202
64050,-1.435
64060,-1.4924000000000002
64070,-1.5498
64080,-1.5498
64090,-1.6071999999999995
64100,-1.722
64110,-1.722
64120,-1.7794
64130,-1.7794
64140,-1.7794
64150,-1.722
64160,-1.8368
64170,-1.7794
64180,-1.722
64190,-1.7794
64200,-1.6646
64210,-1.4924000000000002
64220,-1.3776
