time,value
64230,-0.861
64240,-0.9184
64250,-0.9184
64260,-0.7462
64270,-0.861
64280,-0.6314
64290,-0.574
64300,-0.6314
64310,-0.6314
64320,-0.5166
64330,-0.574
64340,-0.6314
64350,-0.574
64360,-0.574
64370,-0.574
64380,-0.574
64390,-0.574
64400,-0.7462
64410,-0.6888
64420,-0.574
64430,-0.6314
64440,-0.574
64450,-0.5166
64460,-0.6314
64470,-0.574
64480,-0.8035999999999998
64490,-0.6314
64500,-0.6314
64510,-0.861
64520,-0.861
64530,-0.7462
64540,-0.6888
64550,-0.9184
64560,-1.0906
64570,-1.2054
64580,-1.3202
64590,-1.435
64600,-1.435
64610,-1.4924000000000002
64620,-1.6071999999999995
64630,-1.6071999999999995
64640,-1.6646
64650,-1.722
64660,-1.722
64670,-1.8368
64680,-1.8368
64690,-1.7794
64700,-1.9516
64710,-1.8942
64720,-1.8942
64730,-1.8368
64740,-1.722
64750,-1.722
64760,-1.6071999999999995
64770,-1.3776
64780,-1.2054
64790,-1.0332
64800,-0.861
64810,-0.9758
64820,-0.9184
64830,-0.8035999999999998
64840,-0.8035999999999998
64850,-0.6888
64860,-0.7462
64870,-0.6314
64880,-0.574
64890,-0.574
64900,-0.287
64910,-0.2296
64920,-0.1148
64930,0.287
64940,0.574
64950,0.9184
64960,1.148
64970,1.2628
64980,1.148
64990,0.861
65000,0.8035999999999998
65010,0.9758
65020,0.9758
65030,0.9758
65040,1.3202
65050,1.2628
65060,1.2054
65070,1.2628
65080,1.3202
65090,1.2054
65100,1.2054
65110,1.2054
65120,1.3202
65130,1.3776
65140,1.3202
65150,1.435
65160,1.3776
65170,1.3776
65180,1.5498
65190,1.5498
65200,1.4924000000000002
65210,1.435
65220,1.4924000000000002
65230,1.5498
65240,1.3202
65250,1.0906
65260,1.2628
65270,1.3202
65280,1.3202
65290,1.3776
65300,1.3776
65310,1.3776
65320,1.435
65330,1.3202
65340,1.2628
65350,1.4924000000000002
65360,1.2054
65370,1.2628
65380,1.3202
65390,1.2628
65400,1.3202
65410,1.2054
65420,1.3202
65430,1.2054
65440,1.2628
65450,1.2628
65460,1.0906
65470,1.2628
65480,0.9184
65490,1.2054
65500,1.0332
65510,1.0906
65520,1.0332
65530,1.148
65540,1.0906
65550,1.0906
65560,1.0332
65570,1.148
65580,0.9184
65590,0.9758
65600,1.0332
65610,0.9184
65620,0.7462
65630,0.8035999999999998
65640,0.9184
65650,0.8035999999999998
65660,0.7462
65670,0.861
65680,0.8035999999999998
65690,0.574
65700,0.5166
65710,0.6314
65720,0.6314
65730,0.6314
65740,0.574
65750,0.574
65760,0.5166
65770,0.5166
65780,0.7462
65790,0.6888
65800,0.7462
65810,0.5166
65820,0.5166
65830,0.4017999999999999
65840,0.4592
65850,0.6888
65860,0.574
65870,0.574
65880,0.4592
65890,0.8035999999999998
65900,0.6314
65910,0.4592
65920,0.6888
65930,0.6888
65940,0.4592
65950,0.5166
65960,0.6888
65970,0.861
65980,1.0332
65990,1.148
66000,1.2628
66010,1.3202
