time,value
47330,-1.722
47340,-1.5498
47350,-1.3202
47360,-0.9758
47370,-0.861
47380,-1.0332
47390,-1.0906
47400,-0.861
47410,-0.861
47420,-0.8035999999999998
47430,-0.7462
47440,-0.6314
47450,-0.574
47460,-0.574
47470,-0.4017999999999999
47480,-0.5166
47490,-0.4017999999999999
47500,-0.2296
47510,-0.287
47520,-0.1148
47530,-0.0574
47540,0.0
47550,0.287
47560,0.4592
47570,0.8035999999999998
47580,1.2054
47590,1.2628
47600,1.3202
47610,1.148
47620,0.8035999999999998
47630,0.861
47640,1.0332
47650,0.9758
47660,1.0332
47670,1.3776
47680,1.2054
47690,1.2054
47700,1.2628
47710,1.3776
47720,1.2054
47730,1.3776
47740,1.2628
47750,1.2628
47760,1.3202
47770,1.3776
47780,1.3776
47790,1.148
47800,1.148
47810,1.2054
47820,1.3202
47830,1.2054
47840,1.0906
47850,1.2054
47860,1.148
47870,1.0906
47880,1.2054
47890,1.0332
47900,0.9758
47910,1.2628
47920,1.0906
47930,1.0906
47940,0.9758
47950,1.148
47960,1.0906
47970,1.0332
47980,0.9184
47990,1.0906
48000,1.0906
48010,0.9184
48020,0.9758
48030,0.9758
48040,1.0332
48050,0.9758
48060,0.861
48070,1.0906
48080,1.0332
48090,0.9758
48100,0.861
48110,0.9758
48120,1.0332
48130,1.0332
48140,0.9758
48150,1.148
48160,1.0332
48170,1.0332
48180,0.9758
48190,1.148
48200,1.2054
48210,0.861
48220,0.9758
48230,1.0332
48240,1.0332
48250,1.0332
48260,0.861
48270,1.0906
48280,0.9758
48290,1.0332
48300,0.861
48310,1.0906
48320,1.0332
48330,0.9758
48340,0.9184
48350,1.148
48360,1.0332
48370,1.0332
48380,0.9184
48390,1.0906
48400,1.148
48410,0.9758
48420,1.0906
48430,1.148
48440,1.0906
48450,1.0332
48460,0.9184
48470,1.148
48480,1.0906
48490,0.9184
48500,0.9184
48510,1.0332
48520,1.0332
48530,0.9758
48540,0.861
48550,1.0332
48560,0.9184
48570,0.861
48580,0.8035999999999998
48590,0.9184
48600,0.9758
48610,0.7462
48620,0.8035999999999998
48630,0.9184
48640,0.861
48650,0.861
48660,0.6888
48670,0.8035999999999998
48680,0.8035999999999998
48690,0.6888
48700,0.861
48710,0.574
48720,0.5166
48730,0.5166
48740,0.4592
48750,0.4592
48760,0.7462
48770,0.5166
48780,0.574
48790,0.5166
48800,0.8035999999999998
48810,0.574
48820,0.4592
48830,0.6314
48840,0.574
48850,0.4017999999999999
48860,0.574
48870,0.7462
48880,0.9758
48890,1.148
48900,1.2628
48910,1.3776
48920,1.3776
48930,1.4924000000000002
48940,1.6071999999999995
48950,1.6646
48960,1.6071999999999995
48970,1.7794
48980,1.722
48990,1.7794
49000,1.8368
49010,1.7794
49020,1.7794
49030,1.6071999999999995
49040,1.4924000000000002
49050,1.3202
49060,1.0332
49070,0.861
49080,0.7462
49090,0.8035999999999998
49100,0.8035999999999998
49110,0.6888
49120,0.6314
49130,0.574
49140,0.5166
49150,0.4592
49160,0.4592
49170,0.287
49180,0.2296
49190,0.1722
49200,0.0574
49210,0.1148
