time,value
10210,-1.4924000000000002
10220,-1.4924000000000002
10230,-1.6071999999999995
10240,-1.6071999999999995
10250,-1.722
10260,-1.6071999999999995
10270,-1.6646
10280,-1.7794
10290,-1.7794
10300,-1.7794
10310,-1.6646
10320,-1.722
10330,-1.8942
10340,-1.6646
10350,-1.5498
10360,-1.6071999999999995
10370,-1.5498
10380,-1.6071999999999995
10390,-1.5498
10400,-1.4924000000000002
10410,-1.5498
10420,-1.6646
10430,-1.722
10440,-1.5498
10450,-1.7794
10460,-1.6071999999999995
10470,-1.5498
10480,-1.5498
10490,-1.4924000000000002
10500,-1.4924000000000002
10510,-1.3776
10520,-1.4924000000000002
10530,-1.435
10540,-1.3776
10550,-1.6071999999999995
10560,-1.435
10570,-1.6646
10580,-1.2628
10590,-1.4924000000000002
10600,-1.2628
10610,-1.2054
10620,-1.148
10630,-1.2628
10640,-1.2628
10650,-1.148
10660,-1.148
10670,-1.2628
10680,-1.0906
10690,-1.148
10700,-1.3202
10710,-1.148
10720,-0.9184
10730,-1.0332
10740,-1.0906
10750,-1.0332
10760,-0.9758
10770,-0.9758
10780,-0.9184
10790,-0.8035999999999998
10800,-0.7462
10810,-0.6888
10820,-0.6888
10830,-0.7462
10840,-0.6888
10850,-0.6888
10860,-0.5166
10870,-0.6314
10880,-0.7462
10890,-0.7462
10900,-0.8035999999999998
10910,-0.6888
10920,-0.574
10930,-0.574
10940,-0.6314
10950,-0.861
10960,-0.8035999999999998
10970,-0.9184
10980,-0.8035999999999998
10990,-0.9184
11000,-0.8035999999999998
11010,-0.8035999999999998
11020,-1.0906
11030,-0.9758
11040,-0.7462
11050,-0.6888
11060,-0.9184
11070,-1.2628
11080,-1.6071999999999995
11090,-1.8368
11100,-2.0090000000000003
11110,-2.1238
11120,-2.1812
11130,-2.2386
11140,-2.2386
11150,-2.4108
11160,-2.5256000000000003
11170,-2.5256000000000003
11180,-2.5256000000000003
11190,-2.4108
11200,-2.3534
11210,-2.0090000000000003
11220,-1.5498
11230,-1.148
11240,-1.0332
11250,-1.148
11260,-1.148
11270,-1.0906
11280,-1.0332
11290,-0.9758
11300,-0.9758
11310,-0.7462
11320,-0.7462
11330,-0.6314
11340,-0.574
11350,-0.4592
11360,-0.4017999999999999
11370,-0.3444
11380,-0.1722
11390,-0.1722
11400,-0.0574
11410,0.1148
11420,0.1722
11430,0.4017999999999999
